Date,Daily Tests,Daily Cases,Daily Recoveries,Daily Deaths,Week
2020-03-01,0.0,0.0,0.0,0.0,2020-08
2020-03-08,0.0,0.0,0.0,0.0,2020-09
2020-03-15,1430.0,35.0,3.0,0.0,2020-10
2020-03-22,7315.0,750.0,3.0,6.0,2020-11
2020-03-29,10318.0,822.0,26.0,12.0,2020-12
2020-04-05,14533.0,1662.0,225.0,32.0,2020-13
2020-04-12,19874.0,2087.0,838.0,43.0,2020-14
2020-04-19,37377.0,3046.0,875.0,83.0,2020-15
2020-04-26,43912.0,4908.0,1059.0,105.0,2020-16
2020-05-03,58569.0,6858.0,2561.0,181.0,2020-17
2020-05-10,71114.0,10755.0,2622.0,206.0,2020-18
2020-05-17,92474.0,11179.0,3710.0,235.0,2020-19
2020-05-24,96321.0,14224.0,5560.0,264.0,2020-20
2020-05-31,77751.0,16111.0,8601.0,376.0,2020-21
2020-06-07,144832.0,31211.0,8072.0,524.0,2020-22
2020-06-14,192817.0,40807.0,19366.0,661.0,2020-23
2020-06-21,204512.0,36610.0,17737.0,862.0,2020-24
2020-06-28,159910.0,25403.0,23949.0,596.0,2020-25
2020-07-05,158265.0,25327.0,36242.0,576.0,2020-26
2020-07-12,164428.0,19807.0,30268.0,508.0,2020-27
2020-07-19,155616.0,13458.0,44012.0,299.0,2020-28
2020-07-26,149468.0,9206.0,31505.0,0.0,2020-29
2020-08-02,130960.0,5740.0,7847.0,0.0,2020-30
2020-08-09,126318.0,4631.0,11891.0,0.0,2020-31
2020-08-16,152016.0,4555.0,6376.0,0.0,2020-32
2020-08-23,163632.0,4046.0,7742.0,0.0,2020-33
2020-08-30,157633.0,2588.0,3853.0,0.0,2020-34
2020-09-06,20882.0,300.0,288.0,0.0,2020-35
